Source IP,Destination IP,Protocol,Source Port,Destination Port,Packet Count,Protocols
96.16.100.69,192.168.18.114,TCP,443,52566,11,['TCP']
3.213.29.127,192.168.18.114,TLS,443,52564,5,['TLS']
192.168.18.114,96.16.100.69,TLS,52566,443,7,['TLS']
96.16.100.69,192.168.18.114,TLS,443,52566,7,['TLS']
169.197.150.8,192.168.18.114,TLS,443,52563,4,['TLS']
192.168.18.114,52.223.40.198,TCP,52567,443,5,['TCP']
169.197.150.8,192.168.18.114,TLS,443,52565,2,['TLS']
52.223.40.198,192.168.18.114,TCP,443,52567,11,['TCP']
192.168.18.114,52.223.40.198,TLS,52567,443,6,['TLS']
52.223.40.198,192.168.18.114,TLS,443,52567,5,['TLS']
192.168.18.114,3.1.99.166,TCP,52568,443,8,['TCP']
3.1.99.166,192.168.18.114,TCP,443,52568,9,['TCP']
192.168.18.114,3.1.99.166,TLS,52568,443,6,['TLS']
3.1.99.166,192.168.18.114,TLS,443,52568,7,['TLS']
192.168.18.114,74.118.186.107,TCP,52569,443,7,['TCP']
74.118.186.107,192.168.18.114,TCP,443,52569,7,['TCP']
192.168.18.114,74.118.186.107,TLS,52569,443,6,['TLS']
74.118.186.107,192.168.18.114,TLS,443,52569,7,['TLS']
192.168.18.114,74.118.186.107,TCP,52570,443,7,['TCP']
74.118.186.107,192.168.18.114,TCP,443,52570,6,['TCP']
192.168.18.114,74.118.186.107,TLS,52570,443,6,['TLS']
74.118.186.107,192.168.18.114,TLS,443,52570,7,['TLS']
192.168.18.114,142.250.197.2,TCP,52571,443,16,['TCP']
192.168.18.114,182.161.73.136,TCP,52572,443,6,['TCP']
142.250.197.2,192.168.18.114,TCP,443,52571,16,['TCP']
192.168.18.114,142.250.197.2,TLS,52571,443,11,['TLS']
182.161.73.136,192.168.18.114,TCP,443,52572,15,['TCP']
192.168.18.114,182.161.73.136,TLS,52572,443,10,['TLS']
182.161.73.136,192.168.18.114,TLS,443,52572,11,['TLS']
142.250.197.2,192.168.18.114,TLS,443,52571,29,['TLS']
192.168.18.114,142.250.197.36,TCP,52573,443,7,['TCP']
142.250.197.36,192.168.18.114,TCP,443,52573,15,['TCP']
192.168.18.114,142.250.197.36,TLS,52573,443,8,['TLS']
142.250.197.36,192.168.18.114,TLS,443,52573,10,['TLS']
192.168.18.114,142.250.197.1,TCP,52574,443,7,['TCP']
142.250.197.1,192.168.18.114,TCP,443,52574,13,['TCP']
192.168.18.114,142.250.197.1,TLS,52574,443,10,['TLS']
142.250.197.1,192.168.18.114,TLS,443,52574,7,['TLS']
192.168.18.114,142.250.197.2,TCP,52575,443,9,['TCP']
142.250.197.2,192.168.18.114,TCP,443,52575,19,['TCP']
192.168.18.114,142.250.197.2,TLS,52575,443,12,['TLS']
142.250.197.2,192.168.18.114,TLS,443,52575,12,['TLS']
192.168.18.114,142.250.71.164,TCP,52576,443,7,['TCP']
142.250.71.164,192.168.18.114,TCP,443,52576,17,['TCP']
192.168.18.114,142.250.71.164,TLS,52576,443,13,['TLS']
142.250.71.164,192.168.18.114,TLS,443,52576,15,['TLS']
192.168.18.114,142.250.66.36,TCP,52577,443,7,['TCP']
142.250.66.36,192.168.18.114,TCP,443,52577,15,['TCP']
192.168.18.114,142.250.66.36,TLS,52577,443,11,['TLS']
142.250.66.36,192.168.18.114,TLS,443,52577,13,['TLS']
192.168.18.114,65.1.204.241,TCP,52578,443,7,['TCP']
65.1.204.241,192.168.18.114,TCP,443,52578,9,['TCP']
192.168.18.114,65.1.204.241,TLS,52578,443,6,['TLS']
65.1.204.241,192.168.18.114,TLS,443,52578,9,['TLS']
192.168.18.114,96.16.100.69,TCP,52579,443,11,['TCP']
96.16.100.69,192.168.18.114,TCP,443,52579,21,['TCP']
192.168.18.114,96.16.100.69,TLS,52579,443,17,['TLS']
96.16.100.69,192.168.18.114,TLS,443,52579,17,['TLS']
192.168.18.114,100.127.1.12,DNS,52877,53,1,['DNS']
100.127.1.12,192.168.18.114,DNS,53,52877,1,['DNS']
192.168.18.114,35.166.17.54,DATA,52489,443,2,['DATA']
192.168.18.114,35.166.17.54,DATA,52495,443,1,['DATA']
192.168.18.114,103.152.98.207,DATA,52503,443,1,['DATA']
192.168.18.114,108.157.32.17,DATA,52506,443,1,['DATA']
192.168.18.114,142.250.197.74,DATA,52502,443,1,['DATA']
192.168.18.114,8.8.4.4,DATA,52496,443,5,['DATA']
192.168.18.114,104.16.80.73,DATA,52504,443,1,['DATA']
192.168.18.114,142.250.198.138,DATA,52497,443,5,['DATA']
192.168.18.114,3.162.56.232,DATA,52512,443,1,['DATA']
192.168.18.114,142.250.197.226,DATA,52499,443,6,['DATA']
